Galaxy,q,Rc,chi2_red,cov_ok,ndata
NGC6503,1.0000000000000002,499.99999851218763,0.48632474073216087,True,31
NGC6674,1.0000000000000002,499.9999999999981,0.39086354367757803,True,15
NGC6789,1.0000000000000002,499.9999995146515,0.6217851233156706,True,4
NGC6946,1.0000000000000002,499.9999990224621,0.8915691081787939,True,58
NGC7331,1.0000000000000002,499.999997288256,1.2357755896022535,True,36
NGC7793,1.0000000000000002,499.9999996857034,1.307304679120808,True,46
NGC7814,1.0000000000000002,499.9999967008095,0.19026845883800636,True,18
PGC51017,1.0000000000000002,499.99999625524924,1.4950336608231265,True,6
UGC00128,1.0000000000000002,499.9999997381363,0.16493752707721215,True,22
UGC00191,1.0000000000000002,499.9999984833843,0.5183322662386388,True,9
UGC00634,1.0000000000000002,499.9999999997881,0.4173352271231678,True,4
UGC00731,1.0000000000000002,499.9999934233867,0.12802374876971337,True,12
UGC00891,1.0000000000000002,499.99999934521435,0.4793904857806916,True,5
UGC01230,1.0000000000000002,499.99999999999966,0.4260425251503009,True,11
UGC01281,1.0000000000000002,499.99999919412113,1.6062842711731338,True,25
UGC02023,1.0000000000000002,499.99999949246256,1.6408349813470604,True,5
UGC02259,1.0000000000000002,499.999999404727,0.2890299973623036,True,8
UGC02455,1.0000000000000002,499.99999866498445,5.988257154084084,True,8
UGC02487,1.0000000000000002,499.99999997711666,0.35474799757508646,True,17
UGC02885,1.0000000000000002,499.9999999976631,0.47997087059230087,True,19
UGC02916,1.0000000000000002,499.99999997118215,0.2146877188654867,True,43
UGC02953,1.0000000000000002,499.99999823019914,0.6023663656065585,True,115
UGC03205,1.0000000000000002,499.9999999999988,0.5880277085149851,True,48
UGC03546,1.0000000000000002,499.99999999967446,0.6439189403210147,True,30
UGC03580,1.0000000000000002,499.99999972835906,0.7168417365255211,True,47
UGC04278,1.0000000000000002,499.99999944145037,0.4614511677086391,True,25
UGC04305,1.0000000000000002,499.99999944616195,1.3549855594512512,True,22
UGC04325,1.0000000000000002,499.9999994527295,0.3811342693748209,True,8
UGC04483,1.0000000000000002,499.9999995462386,0.6721537648121819,True,8
UGC04499,1.0000000000000002,499.9999959853344,0.6226066916724459,True,9
UGC05005,1.0000000000000002,499.9999999999997,0.664473931717741,True,11
UGC05253,1.0000000000000002,499.99999995441794,0.27919682761977827,True,73
UGC05414,1.0000000000000002,499.9999978945651,0.8725028104833957,True,6
UGC05716,1.0000000000000002,499.99999971493503,0.19741425678042784,True,12
UGC05721,1.0000000000000002,499.9999988320913,0.37098490831282444,True,23
UGC05750,1.0000000000000002,499.9999938574118,0.9622250111303813,True,11
UGC05764,1.0000000000000002,499.99999804962573,0.16058297588900763,True,10
UGC05829,1.0000000000000002,499.9999975003399,0.31385342229023316,True,11
UGC05918,1.0000000000000002,499.9999977976726,0.25800909359321755,True,8
UGC05986,1.0000000000000002,499.9999980046603,0.5053205245732139,True,15
UGC05999,1.0000000000000002,499.99994005008745,0.5270570042534177,True,5
UGC06399,1.0000000000000002,499.9999988303078,0.47511158863253133,True,9
UGC06446,1.0000000000000002,499.99999521301424,0.2376558464256154,True,17
UGC06614,1.0000000000000002,499.99999999959215,0.28936299752091615,True,13
UGC06628,1.0000000000000002,499.999997187992,1.6605331535740473,True,7
UGC06667,1.0000000000000002,499.99999841466035,0.11024184720642181,True,9
UGC06786,1.0000000000000002,499.99999999988887,0.38848591704247626,True,45
UGC06787,1.0000000000000002,499.9999998017352,0.21056654565627778,True,71
UGC06818,1.0000000000000002,499.9999988962296,1.0593621080722746,True,8
UGC06917,1.0000000000000002,499.99999884596366,0.5558623098159612,True,11
UGC06923,1.0000000000000002,499.9999989766524,1.2456876403624697,True,6
UGC06930,1.0000000000000002,499.9999986856634,0.522204040811788,True,10
UGC06973,1.0000000000000002,499.9999990494412,2.2645011117867284,True,9
UGC06983,1.0000000000000002,499.9999986786999,0.35876891203662764,True,17
UGC07089,1.0000000000000002,499.99999880337896,0.7295707861176008,True,12
UGC07125,1.0000000000000002,499.9999992602898,0.5312999665845511,True,13
UGC07151,1.0000000000000002,499.9999985557265,0.7163595047130343,True,11
UGC07232,1.0000000000000002,499.9999998125815,1.457241422983546,True,4
UGC07261,1.0000000000000002,499.9999963335995,0.5935209273888026,True,7
UGC07323,1.0000000000000002,499.9999982060007,0.9194587276882424,True,10
UGC07399,1.0000000000000002,499.99999800464497,0.248590548202366,True,10
UGC07524,1.0000000000000002,499.99999914505787,0.32900177548006354,True,31
UGC07559,1.0000000000000002,499.99999921605166,0.9116993971529602,True,7
UGC07577,1.0000000000000002,499.9999998284162,1.6108939192071143,True,9
UGC07603,1.0000000000000002,499.999999333433,0.45274173822228125,True,12
UGC07608,1.0000000000000002,499.99999789811244,0.2915647058903322,True,8
UGC07690,1.0000000000000002,499.9999982077873,0.8434376434211313,True,7
UGC07866,1.0000000000000002,499.99999935009015,0.7001242269915894,True,7
UGC08286,1.0000000000000002,499.9999984883877,0.2679165060364285,True,17
UGC08490,1.0000000000000002,499.9999992189911,0.251174861848887,True,30
UGC08550,1.0000000000000002,499.99999842870636,0.30547849638133434,True,11
UGC08699,1.0000000000000002,499.99999999999255,0.44337106069457083,True,41
UGC08837,1.0000000000000002,499.9999983568003,1.229418764449017,True,8
UGC09037,1.0000000000000002,499.99999999942116,1.4667622464051884,True,22
UGC09133,1.0000000000000002,499.99999999999994,0.40122959202984687,True,68
UGC09992,1.0000000000000002,499.9999994528915,0.9955856031546215,True,5
UGC10310,1.0000000000000002,499.99999718711194,0.5049828722075242,True,7
UGC11455,1.0000000000000002,499.99999999855896,1.5971167802889157,True,36
UGC11557,1.0000000000000002,499.9999999940263,6.033733180173065,True,12
UGC11820,1.0000000000000002,499.99999874811505,0.3654494324582715,True,10
UGC11914,1.0000000000000002,499.999998608516,0.5730810325368603,True,65
UGC12506,1.0000000000000002,499.99999999999534,0.41150306649268925,True,31
UGC12632,1.0000000000000002,499.9999992668087,0.26045479735084054,True,15
UGC12732,1.0000000000000002,499.9999947752697,0.2177941659928979,True,16
UGCA281,1.0000000000000002,499.99999905226696,0.7236785784453466,True,7
UGCA442,1.0000000000000002,499.9999992856658,0.24778364505309633,True,8
UGCA444,1.0000000000000002,499.999999991287,0.24022845496379894,True,36
